foodId,brandName,productName,petType,caloriesPer100g,proteinG,fatG,carbohydrateG,imageUrl,purchaseUrl
161,인섹트도그(InsectDog),하이포알러지,DOG,330.00,24.00,12.00,40.00,http://shopping.phinf.naver.net/main_2303504/23035040491.2.20250317113219.jpg,https://search.shopping.naver.com/search/all?query=%EC%9D%B8%EC%84%B9%ED%8A%B8%EB%8F%84%EA%B7%B8%20%ED%95%98%EC%9D%B4%ED%8F%AC%EC%95%8C%EB%9F%AC%EC%A7%80
162,벨포아(Bellfor),홀리스틱 인섹트,DOG,335.00,25.00,13.00,39.00,https://s3.ap-northeast-2.amazonaws.com/storage.b-flow.io/24072564/%EB%B2%A8%ED%8F%AC%EC%95%84%20%EC%8D%B8%EB%84%A4%EC%9D%BC.jpg,https://search.shopping.naver.com/search/all?query=%EB%B2%A8%ED%8F%AC%EC%95%84%20%ED%99%80%EB%A6%AC%EC%8A%A4%ED%8B%B1%20%EC%9D%B8%EC%84%B9%ED%8A%B8
163,웰츠(Wealtz),독 저지방 다이어트,DOG,295.00,28.00,8.00,38.00,http://img.dogpre.com/web/dogpre/product/48/47489_detail_01494397.jpg,https://search.shopping.naver.com/search/all?query=%EC%9B%B0%EC%B8%A0%20%EB%8F%85%20%EC%A0%80%EC%A7%80%EB%B0%A9%20%EB%8B%A4%EC%9D%B4%EC%96%B4%ED%8A%B8
164,뉴트리플랜(Nutriplan),고양이 습식사료 어덜트 참치,CAT,80.00,8.00,4.00,2.00,https://thumbnail.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/91b9/e84a5032ca1924e3dec7e7bd7bcd6f7ffff79e73886b724808d0770fbc14.jpg,https://search.shopping.naver.com/search/all?query=%EB%89%B4%ED%8A%B8%EB%A6%AC%ED%94%8C%EB%9E%9C%20%EA%B3%A0%EC%96%91%EC%9D%B4%20%EC%8A%B5%EC%8B%9D%EC%82%AC%EB%A3%8C%20%EC%96%B4%EB%8D%9C%ED%8A%B8%20%EC%B0%B8%EC%B9%98
165,네이처스밸리(Nature's Valley),고양이 그레인프리 어덜트 치킨,CAT,347.00,32.00,12.00,30.00,https://cdn.011st.com/11dims/resize/600x600/quality/75/11src/product/5711131197/A3.jpg?53000000,https://search.shopping.naver.com/search/all?query=%EB%84%A4%EC%9D%B4%EC%B2%98%EC%8A%A4%EB%B0%B8%EB%A6%AC%28Nature%27s%20Valley%29%20%EA%B3%A0%EC%96%91%EC%9D%B4%20%EA%B7%B8%EB%A0%88%EC%9D%B8%ED%94%84%EB%A6%AC%20%EC%96%B4%EB%8D%9C%ED%8A%B8%20%EC%B9%98%ED%82%A8
166,오리젠(ORIJEN),오리지날 독,DOG,394.00,38.00,18.00,21.00,https://img.funnc.com/mobile/dogpre/product/22/21006_detailView_01196301.png,https://search.shopping.naver.com/search/all?query=%EC%98%A4%EB%A6%AC%EC%A0%A0%20%EC%98%A4%EB%A6%AC%EC%A7%80%EB%82%A0%20%EB%8F%85
167,오리젠(ORIJEN),리저널 레드,DOG,386.00,38.00,18.00,22.00,http://shop1.phinf.naver.net/20230728_32/16905262997883kGC5_JPEG/36542883332601361_296439405.jpg,https://search.shopping.naver.com/search/all?query=%EC%98%A4%EB%A6%AC%EC%A0%A0%20%EB%A6%AC%EC%A0%80%EB%84%90%20%EB%A0%88%EB%93%9C
168,오리젠(ORIJEN),스몰브리드 어덜트,DOG,390.00,39.00,18.00,20.00,https://img.funnc.com/mobile/dogpre/product/85/84017_detailView_01716485.png,https://search.shopping.naver.com/search/all?query=%EC%98%A4%EB%A6%AC%EC%A0%A0%20%EC%8A%A4%EB%AA%B0%EB%B8%8C%EB%A6%AC%EB%93%9C%20%EC%96%B4%EB%8D%9C%ED%8A%B8
169,오리젠(ORIJEN),시니어 독,DOG,371.00,38.00,15.00,21.00,https://img.funnc.com/mobile/dogpre/product/21/20417_detailView_01810406.png,https://search.shopping.naver.com/search/all?query=%EC%98%A4%EB%A6%AC%EC%A0%A0%20%EC%8B%9C%EB%8B%88%EC%96%B4%20%EB%8F%85
170,아카나(ACANA),헤리티지 어덜트 치킨앤그린,DOG,378.00,29.00,17.00,38.00,https://img.funnc.com/mobile/dogpre/product/61/60919_detailView_01737904.png,https://search.shopping.naver.com/search/all?query=%EC%95%84%EC%B9%B4%EB%82%98%20%ED%97%A4%EB%A6%AC%ED%8B%B0%EC%A7%80%20%EC%96%B4%EB%8D%9C%ED%8A%B8%20%EC%B9%98%ED%82%A8%EC%95%A4%EA%B7%B8%EB%A6%B0
171,아카나(ACANA),퍼피 스몰브리드,DOG,389.00,31.00,17.00,32.00,https://img.funnc.com/mobile/dogpre/product/48/47477_detailView_01512079.png,https://search.shopping.naver.com/search/all?query=%EC%95%84%EC%B9%B4%EB%82%98%20%ED%8D%BC%ED%94%BC%20%EC%8A%A4%EB%AA%B0%EB%B8%8C%EB%A6%AC%EB%93%9C
172,아카나(ACANA),시니어 독,DOG,335.00,30.00,14.00,30.00,https://img.funnc.com/mobile/dogpre/product/87/86889_detailView_01352459.png,https://search.shopping.naver.com/search/all?query=%EC%95%84%EC%B9%B4%EB%82%98%20%EC%8B%9C%EB%8B%88%EC%96%B4%20%EB%8F%85
173,아카나(ACANA),리저널 레드 미트,DOG,381.00,31.00,17.00,34.00,https://img.dogpre.com/mobile/dogpre/product/49/48464_original_01126653.png,https://search.shopping.naver.com/search/all?query=%EC%95%84%EC%B9%B4%EB%82%98%20%EB%A6%AC%EC%A0%80%EB%84%90%20%EB%A0%88%EB%93%9C%20%EB%AF%B8%ED%8A%B8
174,로얄캐닌(Royal Canin),미니 어덜트,DOG,358.00,26.00,16.00,38.00,https://img.funnc.com/mobile/dogpre/product/45/44723_detailView_01194122.png,https://search.shopping.naver.com/search/all?query=%EB%A1%9C%EC%96%84%EC%BA%90%EB%8B%8C%20%EB%AF%B8%EB%8B%88%20%EC%96%B4%EB%8D%9C%ED%8A%B8
175,로얄캐닌(Royal Canin),미디엄 어덜트,DOG,355.00,26.00,14.00,43.00,https://img.funnc.com/mobile/dogpre/product/45/44729_detailView_01956605.png,https://search.shopping.naver.com/search/all?query=%EB%A1%9C%EC%96%84%EC%BA%90%EB%8B%8C%20%EB%AF%B8%EB%94%94%EC%97%84%20%EC%96%B4%EB%8D%9C%ED%8A%B8
176,로얄캐닌(Royal Canin),맥시 어덜트,DOG,348.00,24.00,14.00,44.00,https://img.funnc.com/mobile/dogpre/product/45/44735_detailView_01932995.png,https://search.shopping.naver.com/search/all?query=%EB%A1%9C%EC%96%84%EC%BA%90%EB%8B%8C%20%EB%A7%A5%EC%8B%9C%20%EC%96%B4%EB%8D%9C%ED%8A%B8
177,로얄캐닌(Royal Canin),미니 퍼피,DOG,373.00,30.00,18.00,34.00,https://img.funnc.com/mobile/dogpre/product/61/60052_detailView_01202607.jpg,https://search.shopping.naver.com/search/all?query=%EB%A1%9C%EC%96%84%EC%BA%90%EB%8B%8C%20%EB%AF%B8%EB%8B%88%20%ED%8D%BC%ED%94%BC
178,로얄캐닌(Royal Canin),미디엄 퍼피,DOG,361.00,29.00,18.00,36.00,https://img.funnc.com/mobile/dogpre/product/45/44723_detailView_01194122.png,https://search.shopping.naver.com/search/all?query=%EB%A1%9C%EC%96%84%EC%BA%90%EB%8B%8C%20%EB%AF%B8%EB%94%94%EC%97%84%20%ED%8D%BC%ED%94%BC
179,로얄캐닌(Royal Canin),맥시 퍼피,DOG,355.00,28.00,16.00,38.00,https://img.funnc.com/mobile/dogpre/product/45/44729_detailView_01956605.png,https://search.shopping.naver.com/search/all?query=%EB%A1%9C%EC%96%84%EC%BA%90%EB%8B%8C%20%EB%A7%A5%EC%8B%9C%20%ED%8D%BC%ED%94%BC
180,로얄캐닌(Royal Canin),맥시 시니어,DOG,327.00,23.00,11.00,42.00,https://img.funnc.com/mobile/dogpre/product/45/44735_detailView_01932995.png,https://search.shopping.naver.com/search/all?query=%EB%A1%9C%EC%96%84%EC%BA%90%EB%8B%8C%20%EB%A7%A5%EC%8B%9C%20%EC%8B%9C%EB%8B%88%EC%96%B4
181,로얄캐닌(Royal Canin),피트 32 어덜트,DOG,360.00,26.00,14.00,42.00,https://img.funnc.com/mobile/dogpre/product/61/60052_detailView_01202607.jpg,https://search.shopping.naver.com/search/all?query=%EB%A1%9C%EC%96%84%EC%BA%90%EB%8B%8C%20%ED%94%BC%ED%8A%B8%2032%20%EC%96%B4%EB%8D%9C%ED%8A%B8
182,로얄캐닌(Royal Canin),키튼,CAT,373.00,34.00,17.00,29.00,https://img.funnc.com/mobile/catpre/product/29/28957_detailView_01068332.jpg,https://search.shopping.naver.com/search/all?query=%EB%A1%9C%EC%96%84%EC%BA%90%EB%8B%8C%20%ED%82%A4%ED%8A%BC
183,로얄캐닌(Royal Canin),어덜트 피트 32,CAT,340.00,30.00,12.00,36.00,https://img.funnc.com/mobile/catpre/product/1/196_detailView_01656405.png,https://search.shopping.naver.com/search/all?query=%EB%A1%9C%EC%96%84%EC%BA%90%EB%8B%8C%20%EC%96%B4%EB%8D%9C%ED%8A%B8%20%ED%94%BC%ED%8A%B8%2032
184,로얄캐닌(Royal Canin),헤어볼케어,CAT,345.00,32.00,13.00,35.00,https://img.funnc.com/mobile/catpre/product/30/29728_detailView_07937435.png,https://search.shopping.naver.com/search/all?query=%EB%A1%9C%EC%96%84%EC%BA%90%EB%8B%8C%20%ED%97%A4%EC%96%B4%EB%B3%BC%EC%BC%80%EC%96%B4
185,로얄캐닌(Royal Canin),스테릴라이즈드 37,CAT,314.00,31.00,9.00,32.00,https://img.funnc.com/mobile/catpre/product/27/26698_detailView_01882015.png,https://search.shopping.naver.com/search/all?query=%EB%A1%9C%EC%96%84%EC%BA%90%EB%8B%8C%20%EC%8A%A4%ED%85%8C%EB%A6%B4%EB%9D%BC%EC%9D%B4%EC%A6%88%EB%93%9C%2037
186,로얄캐닌(Royal Canin),퍼시안 어덜트,CAT,349.00,30.00,13.00,36.00,https://img.funnc.com/mobile/catpre/product/35/34198_detailView_01590216.png,https://search.shopping.naver.com/search/all?query=%EB%A1%9C%EC%96%84%EC%BA%90%EB%8B%8C%20%ED%8D%BC%EC%8B%9C%EC%95%88%20%EC%96%B4%EB%8D%9C%ED%8A%B8
187,힐스(Hill's Science Diet),어덜트 스몰앤미니 치킨앤발리,DOG,365.00,24.00,14.00,54.00,https://img.funnc.com/mobile/dogpre/product/67/66157_detailView_01718251.png,https://search.shopping.naver.com/search/all?query=%ED%9E%90%EC%8A%A4%28Hill%27s%20Science%20Diet%29%20%EC%96%B4%EB%8D%9C%ED%8A%B8%20%EC%8A%A4%EB%AA%B0%EC%95%A4%EB%AF%B8%EB%8B%88%20%EC%B9%98%ED%82%A8%EC%95%A4%EB%B0%9C%EB%A6%AC
188,힐스(Hill's Science Diet),어덜트 라지브리드 치킨앤발리,DOG,335.00,22.00,12.00,46.00,https://img.funnc.com/mobile/dogpre/product/100/99756_detailView_01035578.jpg,https://search.shopping.naver.com/search/all?query=%ED%9E%90%EC%8A%A4%28Hill%27s%20Science%20Diet%29%20%EC%96%B4%EB%8D%9C%ED%8A%B8%20%EB%9D%BC%EC%A7%80%EB%B8%8C%EB%A6%AC%EB%93%9C%20%EC%B9%98%ED%82%A8%EC%95%A4%EB%B0%9C%EB%A6%AC
189,힐스(Hill's Science Diet),퍼피 스몰앤미니 치킨,DOG,381.00,28.00,16.00,40.00,https://img.funnc.com/mobile/dogpre/product/100/99765_detailView_01183317.jpg,https://search.shopping.naver.com/search/all?query=%ED%9E%90%EC%8A%A4%28Hill%27s%20Science%20Diet%29%20%ED%8D%BC%ED%94%BC%20%EC%8A%A4%EB%AA%B0%EC%95%A4%EB%AF%B8%EB%8B%88%20%EC%B9%98%ED%82%A8
